ElectionDate	PartyCode	PartyName	RaceCode	OfficeDesc	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
8/28/2018	REP	Republican	USR	United States Representative	LEE	Lee	017		15	15	Gonzalez	Julio		951
8/28/2018	REP	Republican	USR	United States Representative	OKE	Okeechobee	017		0	0	Gonzalez	Julio		447
8/28/2018	REP	Republican	USR	United States Representative	POL	Polk	017		25	25	Gonzalez	Julio		1362
8/28/2018	REP	Republican	USR	United States Representative	SAR	Sarasota	017		51	51	Gonzalez	Julio		6509
8/28/2018	REP	Republican	USR	United States Representative	CHA	Charlotte	017		67	67	Steube	Greg		12950
8/28/2018	REP	Republican	USR	United States Representative	DES	Desoto	017		15	15	Steube	Greg		1363
8/28/2018	REP	Republican	USR	United States Representative	GLA	Glades	017		13	13	Steube	Greg		661
8/28/2018	REP	Republican	USR	United States Representative	HAR	Hardee	017		12	12	Steube	Greg		1765
8/28/2018	REP	Republican	USR	United States Representative	HIG	Highlands	017		25	25	Steube	Greg		7585
8/28/2018	REP	Republican	USR	United States Representative	LEE	Lee	017		15	15	Steube	Greg		5445
8/28/2018	REP	Republican	USR	United States Representative	OKE	Okeechobee	017		0	0	Steube	Greg		2106
8/28/2018	REP	Republican	USR	United States Representative	POL	Polk	017		25	25	Steube	Greg		3953
8/28/2018	REP	Republican	USR	United States Representative	SAR	Sarasota	017		51	51	Steube	Greg		13155
8/28/2018	REP	Republican	USR	United States Representative	MRT	Martin	018		0	0	Cummings	Dave		2387
8/28/2018	REP	Republican	USR	United States Representative	PAL	Palm Beach	018		253	253	Cummings	Dave		2677
8/28/2018	REP	Republican	USR	United States Representative	STL	St. Lucie	018		64	64	Cummings	Dave		2824
8/28/2018	REP	Republican	USR	United States Representative	MRT	Martin	018		0	0	Freeman	Mark		2492
8/28/2018	REP	Republican	USR	United States Representative	PAL	Palm Beach	018		253	253	Freeman	Mark		2992
8/28/2018	REP	Republican	USR	United States Representative	STL	St. Lucie	018		64	64	Freeman	Mark		2612
8/28/2018	REP	Republican	USR	United States Representative	MRT	Martin	018		0	0	Mast	Brian		19676
8/28/2018	REP	Republican	USR	United States Representative	PAL	Palm Beach	018		253	253	Mast	Brian		18265
8/28/2018	REP	Republican	USR	United States Representative	STL	St. Lucie	018		64	64	Mast	Brian		17586
8/28/2018	REP	Republican	USR	United States Representative	BRO	Broward	022		212	212	Kimaz	Nicolas		10916
8/28/2018	REP	Republican	USR	United States Representative	PAL	Palm Beach	022		59	59	Kimaz	Nicolas		3329
8/28/2018	REP	Republican	USR	United States Representative	BRO	Broward	022		212	212	Manjarres	Javier	'Javi'	9006
8/28/2018	REP	Republican	USR	United States Representative	PAL	Palm Beach	022		59	59	Manjarres	Javier	'Javi'	2919
8/28/2018	REP	Republican	USR	United States Representative	BRO	Broward	022		212	212	Walters	Eddison		6237
8/28/2018	REP	Republican	USR	United States Representative	PAL	Palm Beach	022		59	59	Walters	Eddison		2512
8/28/2018	REP	Republican	USR	United States Representative	BRO	Broward	023		211	211	Kaufman	Joseph	'Joe'	10536
8/28/2018	REP	Republican	USR	United States Representative	DAD	Miami-Dade	023		0	0	Kaufman	Joseph	'Joe'	1123
8/28/2018	REP	Republican	USR	United States Representative	BRO	Broward	023		211	211	Reyes	Carlos	J.	8279
8/28/2018	REP	Republican	USR	United States Representative	DAD	Miami-Dade	023		0	0	Reyes	Carlos	J.	515
8/28/2018	REP	Republican	USR	United States Representative	BRO	Broward	023		211	211	Spalding	Carla		5308
8/28/2018	REP	Republican	USR	United States Representative	DAD	Miami-Dade	023		0	0	Spalding	Carla		319
8/28/2018	REP	Republican	USR	United States Representative	DAD	Miami-Dade	026		0	0	Curbelo	Carlos		23148
8/28/2018	REP	Republican	USR	United States Representative	MON	Monroe	026		33	33	Curbelo	Carlos		6360
8/28/2018	REP	Republican	USR	United States Representative	DAD	Miami-Dade	026		0	0	Faas	Souraya		4399
8/28/2018	REP	Republican	USR	United States Representative	MON	Monroe	026		33	33	Faas	Souraya		1230
8/28/2018	REP	Republican	USR	United States Representative	DAD	Miami-Dade	027		0	0	Adadi	Elizabeth		775
8/28/2018	REP	Republican	USR	United States Representative	DAD	Miami-Dade	027		0	0	Barreiro	Bruno	A.	10029
8/28/2018	REP	Republican	USR	United States Representative	DAD	Miami-Dade	027		0	0	Chirino	Angie		2678
8/28/2018	REP	Republican	USR	United States Representative	DAD	Miami-Dade	027		0	0	Marks	Stephen		2733
8/28/2018	REP	Republican	USR	United States Representative	DAD	Miami-Dade	027		0	0	Ohevzion	Michael		1467
8/28/2018	REP	Republican	USR	United States Representative	DAD	Miami-Dade	027		0	0	Peiro	Maria		3121
8/28/2018	REP	Republican	USR	United States Representative	DAD	Miami-Dade	027		0	0	Rodriguez Aguilera	Bettina		1684
8/28/2018	REP	Republican	USR	United States Representative	DAD	Miami-Dade	027		0	0	Salazar	Maria	Elvira	15817
8/28/2018	REP	Republican	USR	United States Representative	DAD	Miami-Dade	027		0	0	Sosa	Gina		760
8/28/2018	REP	Republican	GOV	Governor	ALA	Alachua			63	63	Baldauf	Don		119
8/28/2018	REP	Republican	GOV	Governor	BAK	Baker			9	9	Baldauf	Don		16
8/28/2018	REP	Republican	GOV	Governor	BAY	Bay			44	44	Baldauf	Don		107
8/28/2018	REP	Republican	GOV	Governor	BRA	Bradford			14	14	Baldauf	Don		18
8/28/2018	REP	Republican	GOV	Governor	BRE	Brevard			174	174	Baldauf	Don		483
8/28/2018	REP	Republican	GOV	Governor	BRO	Broward			577	577	Baldauf	Don		901
8/28/2018	REP	Republican	GOV	Governor	CAL	Calhoun			11	11	Baldauf	Don		6
